               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.028992,            0.070589,            0.016803,             0.61938,             0.53803,             0.50045,             0.35412,              0.0233,            0.065015,             0.01355,            0.006436,            0.006436,            0.006436
                  38,            0.028249,            0.073483,             0.01631,             0.63048,             0.58021,              0.4958,             0.35845,            0.025201,             0.06461,            0.013334,            0.006337,            0.006337,            0.006337
                  39,            0.027877,            0.067996,            0.015856,             0.63135,             0.57874,             0.50408,             0.36377,            0.023752,            0.066521,             0.01313,            0.006238,            0.006238,            0.006238
                  40,            0.028278,            0.071505,            0.016144,             0.60067,             0.62864,             0.51018,             0.36859,            0.024765,            0.065577,            0.013362,            0.006139,            0.006139,            0.006139
                  41,             0.02761,            0.070568,            0.015436,             0.62934,             0.58948,             0.50438,             0.36125,            0.023575,            0.065077,             0.01336,             0.00604,             0.00604,             0.00604
                  42,            0.026041,             0.07175,            0.015078,             0.62718,             0.54934,             0.50788,              0.3591,            0.025223,            0.065645,            0.013498,            0.005941,            0.005941,            0.005941
                  43,            0.026567,            0.068605,            0.015263,              0.6336,             0.58016,             0.50459,             0.36923,            0.023497,            0.064969,            0.013105,            0.005842,            0.005842,            0.005842
                  44,            0.027034,            0.069911,            0.014779,             0.65071,             0.57755,             0.49453,             0.35682,             0.02452,            0.067571,            0.013356,            0.005743,            0.005743,            0.005743
                  45,             0.02712,            0.073165,            0.014974,             0.65611,             0.57551,              0.4931,             0.36174,            0.023311,            0.065859,            0.012522,            0.005644,            0.005644,            0.005644
                  46,            0.025499,            0.069207,            0.014076,             0.64771,             0.58297,             0.49628,              0.3708,            0.022606,            0.066037,            0.012532,            0.005545,            0.005545,            0.005545
                  47,            0.026003,            0.070529,            0.014943,             0.63396,             0.57553,             0.49439,             0.34972,            0.024909,            0.066839,            0.012615,            0.005446,            0.005446,            0.005446
                  48,            0.024945,            0.068734,            0.014538,              0.6385,             0.65216,             0.50895,             0.37545,            0.023329,            0.064517,            0.012283,            0.005347,            0.005347,            0.005347
                  49,            0.025236,            0.067314,            0.013986,             0.50523,             0.62678,             0.50418,             0.37784,            0.022477,            0.064362,            0.012614,            0.005248,            0.005248,            0.005248
