               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.025299,            0.068739,            0.018212,             0.56547,             0.48913,             0.51802,             0.38564,             0.02202,            0.063447,            0.014142,            0.002872,            0.002872,            0.002872
                  38,            0.023964,              0.0711,            0.017673,             0.58297,             0.50879,             0.51578,             0.38582,            0.022553,            0.063213,            0.013801,            0.002674,            0.002674,            0.002674
                  39,            0.023804,            0.066197,            0.017398,             0.49814,             0.57246,              0.5031,             0.37822,            0.022124,            0.063609,            0.013654,            0.002476,            0.002476,            0.002476
                  40,            0.023988,            0.069782,            0.017696,             0.49944,             0.57322,             0.50971,             0.38377,            0.021968,            0.062972,            0.013595,            0.002278,            0.002278,            0.002278
                  41,            0.023824,            0.068655,            0.017066,             0.51261,             0.57394,             0.50021,             0.37732,            0.021624,            0.062728,            0.013555,             0.00208,             0.00208,             0.00208
                  42,            0.022094,            0.069253,            0.016685,             0.48644,             0.55797,             0.49445,             0.37407,            0.021182,            0.062656,            0.013387,            0.001882,            0.001882,            0.001882
                  43,            0.022975,            0.067306,            0.017001,             0.48414,             0.54756,             0.49616,             0.37435,             0.02077,            0.062531,            0.013222,            0.001684,            0.001684,            0.001684
                  44,             0.02243,            0.067819,            0.016519,              0.4825,             0.57008,             0.49878,             0.37853,            0.020992,            0.063016,            0.013211,            0.001486,            0.001486,            0.001486
                  45,            0.022139,            0.070323,            0.017045,             0.47975,             0.56259,             0.50023,             0.38025,            0.020907,            0.062838,            0.012955,            0.001288,            0.001288,            0.001288
                  46,            0.022294,            0.067046,            0.015752,             0.51784,              0.5822,             0.49862,             0.37922,            0.020646,            0.062946,            0.013151,             0.00109,             0.00109,             0.00109
                  47,            0.022096,            0.068561,            0.016843,             0.52596,             0.58292,               0.499,             0.37994,            0.020604,             0.06282,            0.013161,            0.000892,            0.000892,            0.000892
                  48,            0.021047,             0.06645,            0.016834,             0.52705,             0.59887,             0.50326,             0.38688,              0.0205,            0.062597,            0.013042,            0.000694,            0.000694,            0.000694
                  49,            0.021161,            0.065404,            0.016301,             0.50553,             0.57119,             0.50463,             0.38746,            0.020339,            0.062341,            0.013028,            0.000496,            0.000496,            0.000496
